iter	Passed	Remaining
935	21104	1443
936	21133	1420
937	21161	1398
938	21186	1376
939	21213	1354
940	21240	1331
941	21265	1309
942	21293	1287
943	21319	1264
944	21346	1242
945	21374	1220
946	21405	1197
947	21429	1175
948	21455	1153
949	21483	1130
950	21509	1108
951	21537	1085
952	21563	1063
953	21591	1041
954	21638	1019
955	21680	997
956	21701	975
957	21724	952
958	21746	929
959	21772	907
960	21794	884
961	21817	861
962	21840	839
963	21862	816
964	21890	793
965	21914	771
966	21938	748
967	21962	726
968	21986	703
969	22009	680
970	22034	658
971	22074	635
972	22104	613
973	22127	590
974	22158	568
975	22187	545
976	22217	523
977	22248	500
978	22273	477
979	22299	455
980	22333	432
981	22365	409
982	22395	387
983	22445	364
984	22473	342
985	22501	319
986	22530	296
987	22557	273
988	22583	251
989	22610	228
990	22638	205
991	22667	182
992	22693	159
993	22719	137
994	22747	114
995	22774	91
996	22801	68
997	22829	45
998	22857	22
999	22882	0
